,id,sensor_id,data,time_stamp
75,76,1,17.1,2021-10-24 13:06:38.793445
76,77,1,17.1,2021-10-24 13:27:23.806918
77,78,1,17.2,2021-10-24 13:49:10.158580
78,79,1,17.2,2021-10-24 14:10:40.903027
79,80,1,17.2,2021-10-24 14:32:07.285640
80,81,1,17.3,2021-10-24 14:54:01.757632
81,82,1,17.2,2021-10-24 15:15:20.634941
82,83,1,17.2,2021-10-24 15:36:39.428216
83,84,1,17.2,2021-10-24 15:57:25.704422
84,85,1,17.2,2021-10-24 16:20:13.405244
85,86,1,17.3,2021-10-24 16:42:12.299342
86,87,1,17.3,2021-10-24 17:03:21.664239
87,88,1,17.2,2021-10-24 17:24:31.472742
88,89,1,17.2,2021-10-24 17:46:11.156314
89,90,1,17.2,2021-10-24 18:07:23.791299
90,91,1,17.2,2021-10-24 18:28:41.604689
91,92,1,17.2,2021-10-24 18:49:29.828424
92,93,1,17.1,2021-10-24 19:10:28.422642
93,94,1,17.1,2021-10-24 19:32:08.818909
94,95,1,17.1,2021-10-24 19:55:15.778159
95,96,1,17.1,2021-10-24 20:17:09.338112
96,97,1,17.0,2021-10-24 20:39:11.605972
97,98,1,17.0,2021-10-24 21:00:52.787409
98,99,1,17.0,2021-10-24 21:21:18.949502
99,100,1,16.9,2021-10-24 21:44:02.039954
100,101,1,16.9,2021-10-24 22:05:41.096462
101,102,1,16.9,2021-10-24 22:26:22.922657
102,103,1,16.9,2021-10-24 22:47:46.573345
103,104,1,16.8,2021-10-24 23:08:20.976844
104,105,1,16.8,2021-10-24 23:31:05.473022
105,106,1,16.7,2021-10-24 23:52:55.383137
106,107,1,16.7,2021-10-25 00:14:04.309635
107,108,1,16.7,2021-10-25 00:35:57.438221
108,109,1,16.7,2021-10-25 00:56:14.559085
109,110,1,16.7,2021-10-25 01:18:25.872181
110,111,1,16.6,2021-10-25 01:39:26.442289
111,112,1,16.6,2021-10-25 02:00:25.063095
112,113,1,16.6,2021-10-25 02:21:31.976573
113,114,1,17.0,2021-10-25 02:43:13.968860
114,115,1,17.9,2021-10-25 03:05:44.796969
115,116,1,18.2,2021-10-25 03:27:05.055832
116,117,1,18.5,2021-10-25 03:49:26.135014
117,118,1,18.8,2021-10-25 04:10:12.734703
118,119,1,18.9,2021-10-25 04:32:06.275083
119,120,1,19.0,2021-10-25 04:54:50.951492
120,121,1,19.0,2021-10-25 05:16:56.969699
121,122,1,19.2,2021-10-25 05:37:11.177280
